Job Posting,Job Requisition,Posted Internally Only,Job Requisition ID,Job Requisition Status,Supervisory Organization,Group,Account Group,IMT,Team,Job Profile,Job Requisition Type,Management Level,Remote Delivery,Primary Location,Primary Location State/Province,Primary Location Country,Locations,Required Clearance,Clearance Agency,Time Type,Recruiting Start Date,Job Type,Job Family,Job Family Group,Job Description,Job Profile Skills,Contract
"Cloud Engineer, Mid","R0191558 Cloud Engineer, Mid (Open)",,R0191558,Open,Supervisory Organization (Saptak Saraiya (557486)),National Security Group,Space & MI Acct Group,Space & MI IMT,TE&S Specialized,"Cloud Computing Application Architect, Senior Consultant",Immediately Billable,Senior Consultant,Client Site/Booz Allen Office Delivery,"Chantilly, VA",Virginia,United States of America,"Chantilly, VA",TS/SCI w/CIP,Other,Full time,2/22/24,Regular,Cloud Computing Application Architect,Technology,"The Opportunity:
Are you looking for an opportunity to make a difference and help build a system that will have a positive impact in the intelligence community (IC)? Booz Allen is revolutionizing how software is developed and deployed into cloud-based systems. We are bringing in modern, innovative technology to solve our client’s most difficult problems in scaling out enterprise software development processes and services. That is why we need you, an experienced cloud engineer, to help us design and architect the most efficient solutions that automate and shorten the time it takes to get new capabilities from development to production to support mission critical operations.

As a cloud engineer on our team, you will use your development experience to streamline our software development life cycle from development to production by leveraging the latest cloud native managed services. You will lead efforts to incorporate open-source tools, automation, and infrastructure as code using Agile methodologies to develop enterprise solutions that facilitate and reduce the barrier of getting code securely from concept into production. As a cloud engineer, you will work with elite teams to implement continuous integration and deployment mechanisms that help reduce the speed to mission of critical applications and services to our nation’s intelligence systems. This is an opportunity to broaden your skill set into areas like Agile development, cloud-based development, containerization, and serverless while developing software that will improve national security. Join our team as we build tools to transform the future of the IC.

Join us. The world can’t wait.

You Have:

4+ years of experience with cloud application development 

4+ years of experience designing, developing, operationalizing, and maintaining complex cloud applications at enterprise scale

3+ years of experience with AWS 

3+ years of experience working with microservices and containerization, including orchestration, cluster management, and container storage, including Docker, Kubernetes, or Rancher 

2+ years of experience developing and deploying microservice architectures

Experience deploying, configuring, and maintaining Linux server systems in the Cloud

Experience with scripting languages 

TS/SCI clearance with a polygraph 

Bachelor's degree

Ability to obtain a Security+ CE, SSCP, CCNA-Security, or GSEC Certification within 6 months of start date


Nice If You Have:

Experience developing CI/CD pipelines 

Experience with Serverless, including Lambda, API Gateway, Step Functions, and SAM 

Experience securing and hardening operating systems, applications, and containers

Experience with application management and providing high availability and resilient solutions using methods, including clustering or failover

Experience with application performance analysis and monitoring, including Elasticsearch Logstash Kibana (ELK), Prometheus, and Grafana 

Experience with an Agile release methodology 

Bachelor’s degree in Technology

Security+ CE, SSCP, CCNA-Security, or GSEC Certification 

Certified Kubernetes Application Developer, Kubernetes Administrator, or Certified Terraform Associate Certification


Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Analytical Thinking

Application Development

Application Integrations

Architectural Modeling

Cloud Computing

Core Application Systems

Design Applications

Enterprise Information Security Architecture

Software Architectures

Software Product Design

Systems Integration

Technical Troubleshooting

Technology Implementations

Technology Integrations",SPACE_NRO_Athena TO2
CNO Developer,R0201610 CNO Developer (Open),,R0201610,Open,Supervisory Organization (Jennifer Kreller (522358)),National Security Group,National Cyber Acct Group,National Cyber IMT,TE&S Specialized,"CNO Capability Development Specialist, Associate",Contingent Client or Prime Approval,Associate,Client Site/Booz Allen Office Delivery,"Annapolis Junction, MD",Maryland,United States of America,"Annapolis Junction, MD",TS/SCI w/FSP,NSA,Full time,7/12/24,Regular,CNO Capability Development Specialist,Technology,"The Opportunity:
As a computer network operations (CNO) specialist, you know that embedded and application developers, reverse engineers, and vulnerability analysts all play key roles in the CNO capability development life cycle. We’re looking for someone like you to flex your problem-solving prowess in a rapidly evolving systems security research and development environment.  

As a senior CNO capability development specialist on our team, you’ll support full project life cycles. Guiding an Agile team of professionals, you’ll manage reverse engineering and vulnerability analyses of diverse software problems. You’ll inform operational parameters for complex systems and leverage artificial intelligence and machine learning to influence the delivery of your work. Using your network operations expertise, you’ll determine what the art of the possible is and what can be done—and then you’ll bring it to life for your clients. 

Help us combat the most advanced adversaries and defend national security.

Join us. The world can’t wait.  

You Have:   

6 years of experience in programming with object-oriented programming languages

4 years of experience with developing Windows applications using Visual Studio or .NET environments or developing UNIX applications using make files or a build environment

Experience with developing complex programs using C, C#, C++, or Java

Experience with implementing software life cycle management requirements, including design, develop, test, validate, or deploy

TS/SCI clearance with a polygraph

Bachelor's degree in Computer Science or 4+ years of experience with embedded development in lieu of a degree

  
Nice If You Have:    

3+ years of experience with computer programming in C/C++, Python, Assembly, or PerlScript   

2+ years of experience with computer engineering, computer science, electronic and electrical engineering, or applied mathematics   


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Assembly Programming

Big Data Platforms

Black Box Testing

Cloud Computing

Computer Network Operations

Desktop Operating Systems

Disassembly

Embedded Operating Systems

Embedded Systems Programming

Exploit Development

Ghidra

Global Telecommunications System Architectures & Protocols

IDA Pro

Java

Mobile Operating Systems

Network Protocols

NextGen Solutions

Perl Scripts

Programming Languages

Protocol Analysis

Python (Programming Language)

Real-Time Operating Systems (RTOS)

Reverse Engineering

SCADA Control Systems

Software Debugging

Software Vulnerabilities

Streaming Analytics",Functional Hiring
AWS DevOps Engineer,R0203023 AWS DevOps Engineer (Open),,R0203023,Open,Supervisory Organization (Paul Robinson (524458)),National Security Group,Intel Acct Group,Intel IMT,TE&S Specialized,"DevOps Engineer - Infrastructure, Senior Consultant",Contingent Client or Prime Approval,Senior Consultant,Client Site/Booz Allen Office Delivery,"Alexandria, VA",Virginia,United States of America,"Alexandria, VA

Annapolis Junction, MD

Chantilly, VA

McLean, VA",TS/SCI w/CIP,NGA,Full time,8/3/24,Regular,DevOps Engineer,Technology,"The Opportunity:As a DevOps engineer, you know how to set up cloud environments and provision computer networking, storage, and virtual networks—ultimately, how to “harness the cloud.” We’re looking for an experienced DevOps infrastructure engineer like you to support our clients as they modernize their IT infrastructures and meet their most challenging missions. 

As a DevOps infrastructure engineer at Booz Allen, you’ll work closely with cloud architects and engineers to manage server configuration for modern cloud solutions. You’ll apply your skills within a DevOps framework to establish or provision virtual machines or networks and use cloud service providers to further your clients’ meaningful missions. 

With access to our internal innovative labs, there’s no better place to further your skills and explore different ways of solving our clients’ challenges. Whether helping to develop, deploy, or manage IT infrastructures for crucial server and network components, here, you’ll have the latest tech and brightest teammates at your fingertips.

Join us. The world can’t wait.  

You Have:

2+ years of experience with the development of tools and processes to drive DevOps or DevSecOps maturity by automating builds, regression testing, monitoring, and pushing releases across environments

2+ years of experience with troubleshooting, triaging, and resolving CI and CD pipeline issues

Experience with developing enterprise AWS solutions 

Experience with provisioning computer networking and storage and setting up servers that the platform is on, including virtual machine (VMs) or networks

Experience with creating solutions to complex problems in a collaborative team environment

TS/SCI clearance with a polygraph

Bachelor's degree


Nice If You Have:

Experience with writing scripts using tools, including Python, Bash or Boto3

Experience with automated testing frameworks

Experience with Infrastructure-as-Code

Experience with creating and improving continuous automation across multiple technical stacks

Experience with triaging and resolving issues related to both open source and commercial tools in public cloud environments

IAT Level II+ Certification, including Security+ or CISSP

AWS Certification, including AWS Certified DevOps Engineer or AWS Certified Security - Specialty


Clearance: Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Automation Technology

Google Cloud Platform

Go Programming Language

Infrastructure Automation

Kubernetes

Linux

Microservices Architecture

Public Clouds

Python​

Security Management

Serverless​

Testing

Unikernels",NGA_AWS MSA
PeopleSoft Application Developer,R0205268 PeopleSoft Application Developer (Open),,R0205268,Open,Supervisory Organization (Katherine LeVan (563164)),National Security Group,Intel Acct Group,Intel IMT,TE&S Specialized,"Low-Code/No-Code (LCNC) Solution Engineer, Senior Consultant",Immediately Billable,Senior Consultant,Client Site/Booz Allen Office Delivery,"Chantilly, VA",Virginia,United States of America,"Chantilly, VA

Reston, VA",TS/SCI w/FSP,UGC,Full time,9/5/24,Regular,Low-Code/No-Code (LCNC) Solution Engineer,Technology,"The Opportunity:
Are you passionate about crafting an amazing user experience? The right interface can make a site easy to use, encourage early adoption, and save time and resources. We’re looking for a front-end developer like you who will use equal parts skill and vision to build an experience that delivers functionality and efficiency.

This is an opportunity to meet challenges in the intelligence community by collaborating with a development team to build a tool with user-centric design. You’ll create and deploy applications and workflows in a low-code platform. You'll coordinate with client-facing change managers and other digital transformation specialist to deploy a large program with multiple integrations, data processing capabilities, and customizations based on client requirements. Join us as we build systems to change the intelligence community for the better.

Join us. The world can't wait.

You Have:
2+ years of experience with PeopleSoft
Experience working on teams using Lean UX, Agile, DevOps, or DevSecOps
Experience assisting with the analysis of information requirements
Experience working with and managing datasets
Ability to support senior team members in the development of code
Ability to provide production support by analyzing, designing, programming, and testing solutions to complex production problems
TS/SCI clearance with a polygraph
Bachelor's degree

Nice If You Have:
Experience with PeopleSoft training
Experience with Oracle and SQL commands
Experience with design and process documentation
Experience with unit testing IT applications
Experience working with product owners, analysts, testers, and developers to develop user stories and acceptance criteria
Ability to perform in a fast-paced work environment with multiple competing priorities
ICAgile or Agile certification

Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Active Learning (Inactive)

Client Consulting

Critical Thinking

Demonstrate Solutions

Group Problem Solving

Low Code Application Development

Low Code Architecture

Low Code Solution Design

Low Code Solutions

Low Code Solution Testing

Results-Oriented

Solution Deployment

Solution-Oriented

Systems Integration

Teamwork

Technical Troubleshooting",UGC_Wise
Health Scientist,R0205721 Health Scientist (Evergreen) (Open),,R0205721,Open,Supervisory Organization (Katherine Topf (615755)),Civil Group,HLT & Life Sci Acct Group,HLT & Life Sci IMT,TE&S Core,"Health Scientist, Senior Consultant",Contingent Funding,Senior Consultant,Hybrid Delivery,"Atlanta, GA",Georgia,United States of America,"Atlanta, GA",,,Full time,9/11/24,Regular,Health Scientist,Engineering & Science Professional,"Key Role:
Conducts and applies health science expertise to science and technology client challenges. Applies specific functional knowledge, working and general industry knowledge. Develops or contributes to solutions to a variety of problems of moderate scope and complexity. Works independently with some guidance, may review or guide activities of more junior employees.

Basic Qualifications:

Knowledge of public health, healthcare, or health technology

Knowledge of data manipulation using statistical software

Ability to work independently and as a member of a team

Ability to problem solve and pay strict attention to detail

Ability to be flexible and organized, prioritize, and multitask, and thrive with asking questions

Ability to write communication through the development of standard operation procedures (SOPs), analytic reports, or manuscripts submitted for publication

Ability to obtain and maintain a Public Trust or Suitability/Fitness determination based on client requirements

Bachelor’s degree


Additional Qualifications:

Experience with Database Management

Experience in performing data manipulation, cleaning, analysis, or visualization in R, SAS, Python, or SQL

Experience with working in team environments where not all members are professionally trained in statistical and quantitative studies

Experience with program documentation and code commenting

Experience with data visualizations for broad audiences

Experience in machine learning, artificial intelligence, or large language models (LLM)

Experience working with dashboard tools, including but not limited to Power BI, Tableau, or R Shiny

Knowledge of IT

Possession of excellent oral and written communication skills

Master’s degree preferred; Doctorate degree a plus


Vetting:   
Applicants selected will be subject to a government investigation and may need to meet eligibility requirements of the U.S. government client.   ","Evidence-Based Practices (EBP)

Evidence Evaluation

Healthcare Technology

Health Communication

Qualitative Analysis

Quantitative Analysis

Research Studies

Scientific Evaluation",CDC_Health Science
UC Support Engineer,R0206247 UC Support Engineer (Open),,R0206247,Open,Supervisory Organization (Timothy Hardman (585281)),Corporate Core,Enterprise Tech Svcs&Slns,User Productivity IMT,User Productivity,"Non-Ex AV Engineer, Senior Consultant",Non Billable,Senior Consultant,Client Site/Booz Allen Office Delivery,"El Segundo, CA",California,United States of America,"El Segundo, CA",Secret,Other,Full time,9/18/24,Regular,AV Engineer,Internal Professional,"Key Role:
Join an innovative and exciting team providing Unified communications (UC) and Audiovisual (AV) support for Booz Allen staff and the associated systems. Provide technical consulting, client, and system maintenance support for Booz Allen facilities globally. Apply expertise in the UC/AV field, including Webcasting, videoconferencing (VTC), and collaboration support. Provide onsite or remote support for live events, broadcasts, or recordings using both physical and virtual technology. Work with other Booz Allen staff organizations to provide technical support for internal meetings, collaboration spaces, conferences, and other client workspaces. Maintain advanced expertise in networking and IT and interact regularly with and provide support for government clients and other high-level executives. This position requires the ability to work rotating hours, including evenings, and provide occasional weekend support.

Basic Qualifications:

3+ years of experience with UC or AV technologies

3+ years of experience performing hands-on technical production for large events

3+ years of experience with live event support

3+ years of experience in customer service, including government and high-level executive audiences

3+ years of experience with IT based UC or AV

3+ years of experience with VTC endpoints, including Cisco or Microsoft

3+ years of experience with virtual and streaming based event support

Ability to obtain a Secret clearance

HS diploma or GED


Additional Qualifications:

Experience with Microsoft Teams Live production

CTS Certification


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.","Accuracy

Active Learning (Inactive)

Audiovisual (AV) Inventory

Audiovisual Equipment

Communication

Detail-Oriented

Personal Development

Standard Operating Procedure (SOP)

Team Facilitation

Teamwork",ETSS
"Signals Analyst, Senior","R0207416 Signals Analyst, Senior (Open)",,R0207416,Open,Supervisory Organization (Richard McBride | Ian McBride (583725)),National Security Group,National Cyber Acct Group,National Cyber IMT,TE&S Specialized,"Intelligence Technical Analyst, Associate",Contingent Funding,Associate,Client Site/Booz Allen Office Delivery,"Fort Meade, MD",Maryland,United States of America,"Annapolis Junction, MD

Fort Meade, MD",TS/SCI w/CIP,Other,Full time,10/3/24,Regular,Intelligence Technical Analyst,Consulting & Mission Operations,"The Opportunity: 
Do you have excellent analytic expertise and a problem-solving mindset? Are you looking for an opportunity to use those skills to support our warfighters, protect our national security, and inform our nation's leaders? As an RF Signals Analyst and Operator on our team, you will use your specialized technical experience to support cyber space operations and intelligence collection to enable the success of mission owners. 
 
As an RF Signals Analyst and Operator on our team analyst on our team, you will provide expert analytic support while working alongside the mission owners to tackle complex and challenging problems in computer network analysis, network exploitation, digital network intelligence, dataflow, access development, and target network analysis. Your duties will require you to leverage an understanding of ports, protocols, networking devices, and common exploitation frameworks. This will provide an opportunity to grow your expertise, develop new skills and tradecraft, use and share your methodologies and tool experience with other analysts, and most importantly, be a part of a team conducting offensive cyberspace operations that are crucial to national security.  
 
Join us. The world can't wait.  
 
You Have:     

Experience with gathering clues from radio frequencies and electronic signals

Experience with intercepting and identifying nonverbal frequencies

Ability to perform, collaborate, and build solid relationships in a large, operational working environment 

Ability to run advanced DNR or DNI queries, analyzing and formatting the data in technical and tactical reporting

TS/SCI clearance with a polygraph 

Bachelor's degree and 4+ years of experience with RF Signals Intelligence Collection and Technical Analysis, Associate's degree and 6+ years of experience with RF Signals Intelligence Collection and Technical Analysis, or 8+ years of experience with RF Signals Intelligence Collection and Technical Analysis in lieu of a degree

Graduate of SIGE2810, SIGE3810, or 451 and 452 Signals Analysis Course

 
Nice If You Have:   

Experience with SIGINT collection, SIGINT digital signal processing, or technical work in a ground station operations area

Experience with using specialized IC SIGINT tasking, collection, exploitation, analysis, and mapping tools 

Experience with programming languages for scripting and automation, including Python or C++

Experience with penetration testing tools

Bachelor’s degree

Network+, Security+, CEH, CCNA, or SANS Certification 

 
Clearance:  
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Algorithmic Design

Argumentation

Computer Coding

Critical Thinking

Data Engineering

Information Dissemination

Intelligence Collection

Intelligence Disciplines

Intelligence Planning

Intelligence Production

Oral Communications

Qualitative Analysis

Quantitative Analysis

Researching

Technology Integrations

Written Communication",POST_MORPHEUS_TDL78
Construction Cost Estimator,R0207585 Construction Cost Estimator (Open),,R0207585,Open,Supervisory Organization (David Pollard (530774)),National Security Group,Intel Acct Group,Intel IMT,TE&S Core,"Facilities Professional, Senior Consultant",Contingent Client or Prime Approval,Senior Consultant,Client Site/Booz Allen Office Delivery,"McLean, VA",Virginia,United States of America,"McLean, VA",TS/SCI w/FSP,Other,Full time,10/7/24,Regular,Facilities Professional,Engineering & Science Professional,"Key Role:
Lead the development of client facilities and infrastructure requirements throughout the life cycle via creative approaches that achieve required functional end-states. Develop innovative solutions based on advanced principles within the facilities industry. Develop rough order of magnitude (ROM) cost estimates for government projects and initiatives. Develop independent cost estimates for government projects using industry standards. Evaluate cost estimates prepared by architects and engineers (A&Es) or other organizations to identify budgetary, schedule, and programmatic risk factors. Establish and provide descriptive analysis, cost analysis, and business case builds and implement business process improvements. Lead multiple cross-organizational programs that promote business process, information technology, and financial efficiencies.

Basic Qualifications:

2+ years of experience with cost estimating in a Commercial Facilities environment

Ability to develop ROM cost estimates for projects of various size and scope

Ability to create independent cost estimates using industry standards and best practices

Ability to evaluate cost estimates prepared by organizations, including A&E firms and identify budgetary, schedule, and programmatic risk factors

Ability to establish and provide business descriptive analysis, cost analysis, and business case builds, and implement business process improvements

Ability to obtain a TS/SCI clearance with a polygraph

HS diploma or GED


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.","Audit Performance

Business Cases

Client Consulting

Community Planning

Construction Management

Cost Estimates

Data Gathering Analysis

Due Diligence

Facilities Planning

Facility Management

Feasibility Analysis

Group Problem Solving

Infrastructure Management (IM)

Owners Representation

Project Programming

Risk Management

Space Utilization",Classified Client_MARS
"Acquisitions Business Analyst, Senior","R0207688 Acquisitions Business Analyst, Senior (Open)",,R0207688,Open,Supervisory Organization (Janice Ware (586250)),National Security Group,Intel Acct Group,Intel IMT,TE&S Core,"Financial Analyst, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Bethesda, MD",Maryland,United States of America,"Bethesda, MD",TS/SCI w/CIP,ODNI,Full time,10/8/24,Regular,Financial Analyst,Consulting & Mission Operations,"The Opportunity: 
Join our Acquisitions team supporting Research and Development (R&D) efforts within the intelligence community. Using your acquisitions knowledge and business management expertise, you will collaborate with Contracting Officer's Technical Representatives (COTRs) and provide the acquisitions and business acumen to effectively execute R&D programs.

As an Acquisitions Business Analyst, you will work with the agency’s business units, including plans, budget, and execution, contracts and interagency agreements, security, IT, and records and property management. Your extensive knowledge of the acquisition lifecycle will allow you to assist in the preparation and coordination of contracting materials such as Statement of Works (SOWs), Performance Work Statements (PWS), Determination and Findings Memorandums (D&Fs), acquisition plans, and proposal evaluation criteria. In your role, you will develop and maintain ongoing working relationships and expectations with internal and external stakeholders throughout the program life cycle. Your ability to communicate effectively, succinctly convey complex issues, and brief senior leadership will support organizational activities and priorities that enable the organization to successfully execute its mission.

Join us. The world can’t wait.

You Have:
5+ years of experience in business operations or business management supporting acquisition and contract management activities in the intelligence community
Experience supporting projects comprised of multidisciplinary teams to collaborate on work products, and sharing knowledge and building networks and alliances with colleagues and counterparts within or across the organization, the IC, the government, and private organizations
Experience with the analysis of financial performance and expenditures
Knowledge of acquisition lifecycle, including Broad Agency Announcements (BAAs), Requests for Proposals (RFPs), and Requests for Information (RFls)
Knowledge of Grants, Cooperative Agreements or Other Transactions (OTs), and the source selection process
Knowledge of review plans, industrial security plans, research solicitations, market research, and independent government cost estimates
Ability to assess funding needs over multiple contracts and requirements over a multi-year period and develop an executable spend plan, and track financial execution from award through contract closeout
TS/SCI clearance with a polygraph
Bachelor’s degree

Nice If You Have:
Experience with Government Contract Requests
Possession of excellent verbal and written communication skills

Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Analytical Thinking

Budgeting

Client Consulting

Confidentiality

Critical Thinking

Decision Making

Finance and Accounting

Financial Engineering

Financial Instruments

Financial Statement Analysis

Information Capture

Internal Auditing

Mathematical Finance

Pricing Models

Process Management

Results-Oriented

Treasury Management",CASES TO5 - IARPA
Cloud Engineer,R0208056 Cloud Engineer (Open),,R0208056,Open,Supervisory Organization (Katherine LeVan (563164)),National Security Group,Intel Acct Group,Intel IMT,TE&S Specialized,"Cloud Computing Application Architect, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Reston, VA",Virginia,United States of America,"Reston, VA",TS/SCI w/FSP,UGC,Full time,10/15/24,Regular,Cloud Computing Application Architect,Technology,"The Opportunity:  
Everyone is trying to “harness the cloud,” but not everyone knows how. As a Cloud Engineer, you know how to create a cloud-based technical architecture that meets client needs and takes advantage of cloud capabilities. What if you could use your cloud architecture skills to improve national security? We need you to help us develop cloud-based solutions for some of our client's toughest problems. 

On our team, you’ll create modern cloud based applications to replace mission critical legacy software. This is an opportunity to use the latest cloud technologies as you look for ways to improve your client’s environment using current cloud capabilities. Your technical expertise will be vital as you work with your client to inform strategy and design and ensure standards are met throughout the cloud migration process.  

You’ll recommend tools and solutions based on your research of the current environment and knowledge of various on-premise, cloud-based, and hybrid resources. You’ll lead your team as they help the client overcome their most difficult challenges in the cloud. Additionally, you’ll broaden your skill set in areas like automation, security, and modernization while developing critical systems for the IC. 

Ready to transform national security with cloud technology? 

Join us. The world can’t wait. 
  
You Have: 

5+ years of experience with AWS

5+ years of experience with programming languages, such as JavaScript, HTML

Experience maintaining applications within cloud infrastructure

TS/SCI clearance with a polygraph

HS diploma or GED


Nice If You Have: 

Experience with DevOps tools, such as GitHub

Experience with CI/CD

AWS Cloud Certification


Clearance:  
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Analytical Thinking

Application Development

Application Integrations

Architectural Modeling

Cloud Computing

Core Application Systems

Design Applications

Enterprise Information Security Architecture

Software Architectures

Software Product Design

Systems Integration

Technical Troubleshooting

Technology Implementations

Technology Integrations",UGC_Vanguard_Mosaic
